vendor,model,model_series,reasoning_effort,n_records,n_calls,n_success_dashboard,n_failure_dashboard,n_excluded_dashboard,n_unfinalized_dashboard,success_rate_dashboard,failure_rate_dashboard,success_rate_over_all_calls,failure_rate_over_all_calls,n_success_is_success,n_fail_is_success,n_http_2xx,n_http_4xx_plus,n_status_null,group_min_created_at_cst,group_max_created_at_cst,sum_input_tokens,sum_cache_read_tokens,sum_cache_write_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_cache_read_tokens,avg_cache_write_tokens,avg_output_tokens,avg_total_tokens,sum_cost_usd,avg_cost_usd,avg_cost_success_dashboard,avg_cost_failure_dashboard,avg_cost_success_flag,avg_cost_failure_flag,sum_cost_input_base,sum_cost_cache_read_base,sum_cost_cache_write_base,sum_cost_output_base,sum_cost_input_billed,sum_cost_cache_read_billed,sum_cost_cache_write_billed,sum_cost_output_billed,sum_cost_breakdown_total,n_with_cost_breakdown,n_without_cost_breakdown,cache_hit_rate_token_weighted,cache_hit_rate_request_avg,p50_cost_usd,p90_cost_usd,max_cost_usd,stddev_cost_usd,p50_input_tokens,p90_input_tokens,max_input_tokens,stddev_input_tokens,p50_cache_read_tokens,p90_cache_read_tokens,max_cache_read_tokens,stddev_cache_read_tokens,p50_cache_write_tokens,p90_cache_write_tokens,max_cache_write_tokens,stddev_cache_write_tokens,p50_output_tokens,p90_output_tokens,max_output_tokens,stddev_output_tokens,p50_duration_ms,p90_duration_ms,max_duration_ms,stddev_duration_ms,p50_ttfb_ms,p90_ttfb_ms,max_ttfb_ms,stddev_ttfb_ms,n_duration_null,n_input_null,n_output_null,n_cache_read_null,n_cache_write_null,n_cost_null,n_cost_zero,n_cost_negative,n_negative_tokens,n_price_cloud_official,n_price_cloud_exact,n_price_local_manual,n_price_priority_fallback,n_price_source_null,most_common_price_source
anthropic,claude-opus-5,claude-opus,(unspecified),7012,7012,6254,452,306,0,0.932598,0.067402,0.891900,0.064461,6254,758,6254,758,0,2026-08-03 08:38:53,2026-09-19 16:13:49,1910738,132757,7853234,118070,10014799,272.495436,18.932829,1119.970622,16.838277,1428.237165,76.5024197500,0.0109102139,0.0122301037,0.0000000000,0.0122301037,0.0000202523,9.5536900000,0.0663785000,62.5576812500,2.9517500000,10.6486600000,0.0663785000,62.5576812500,3.2297000000,76.5024197500,6255,757,0.013414,0.043466,0.0008975000,0.0403250000,0.6242850000,0.0328521193,69.000000,336.000000,7009,990.386525,0.000000,60.000000,19632,249.162717,66.000000,2340.000000,43164,4179.739294,2.000000,6.000000,14180,414.988083,2847.500000,13955.700000,209617,13956.137032,2611.000000,7738.800000,198220,9905.195619,0,757,757,827,827,0,757,0,0,6255,0,0,0,757,cloud_official
openai,gpt-5.6-terra,gpt-terra,xhigh,6646,6646,5827,452,367,0,0.928014,0.071986,0.876768,0.068011,5827,819,5827,819,0,2026-08-06 21:14:41,2026-09-19 09:24:28,127170705,554394899,1933876,3922322,687421802,19134.924014,83417.830123,290.983449,590.177851,103433.915438,743.7817186250,0.1119141918,0.1276440224,0.0000000000,0.1276440224,0.0000000000,288.9033560000,129.1778394000,4.8346900000,54.2616525000,458.7913908750,196.4410337500,5.0847025000,83.4645915000,743.7817186250,5827,819,0.811112,0.791617,0.0668922500,0.2326693500,2.8132632500,0.1650363823,2974.000000,60759.000000,281780,40590.159236,79114.000000,185088.000000,273920,68655.107886,0.000000,0.000000,234058,3518.329904,299.000000,1451.500000,14476,944.217147,15003.500000,87772.500000,780101,46489.260637,8323.000000,55938.400000,779509,34859.715457,0,819,819,821,824,0,819,0,0,2333,0,3494,0,819,local_manual
xai,grok-4.6,grok,(unspecified),5810,5810,5511,227,71,1,0.960439,0.039561,0.948537,0.039071,5500,310,5511,298,1,2026-08-22 19:00:02,2026-09-19 16:11:49,28763852,253096192,0,2721622,284581666,4950.749053,43562.167298,0.000000,468.437522,48981.353873,666.6821635000,0.1147473603,0.1209729928,0.0000000000,0.1211943972,0.0003644484,75.4324000000,179.6480000000,0.0000000000,17.8244340000,190.7116005000,433.4303200000,0.0000000000,42.5402430000,666.6821635000,5511,299,0.897950,0.550871,0.0055700000,0.3407271000,4.9781340000,0.2937614743,188.000000,4161.100000,382262,25746.132105,128.000000,169088.000000,408960,79703.783055,0.000000,0.000000,0,0.000000,263.000000,912.100000,17379,796.398655,6201.000000,26050.400000,398961,18692.016529,1414.000000,10539.000000,133343,9853.139624,1,299,299,299,5810,0,299,0,0,0,5511,0,0,299,cloud_exact
openai,gpt-5.6-sol,gpt-sol,low,5254,5254,4672,434,146,2,0.915002,0.084998,0.889227,0.082604,4671,583,4672,580,2,2026-08-06 10:45:43,2026-09-19 15:44:45,104064072,301733906,793136,2167547,408758661,19806.637229,57429.369242,150.958508,412.551770,77799.516749,1030.7538475750,0.1961845922,0.2206236831,0.0000000000,0.2206709158,0.0000000000,497.3841410000,147.9694146000,4.7686000000,63.0309800000,708.4717052500,221.9679723250,6.1873600000,94.1268100000,1030.7538475750,4665,589,0.742106,0.730434,0.0855300000,0.4666403000,4.2735000000,0.3511823427,1728.000000,67028.500000,237283,44299.648811,34560.000000,155392.000000,238336,60553.674064,0.000000,0.000000,117296,2525.771861,189.000000,1065.100000,9758,697.535755,12536.500000,53038.500000,264688,28900.583312,6729.000000,27148.800000,198542,17112.175289,2,586,586,588,754,0,589,0,0,3067,0,1598,0,589,cloud_official
openai,gpt-5.5,gpt,medium,4825,4825,4351,402,69,3,0.915422,0.084578,0.901762,0.083316,4354,471,4351,471,3,2026-08-06 07:15:42,2026-09-17 13:13:58,50099297,372750069,0,2661392,425510758,10383.273990,77253.900311,0.000000,551.583834,88188.758135,661.0888122500,0.1370132253,0.1519302085,0.0001006841,0.1518255253,0.0000859342,250.4964850000,186.3750345000,0.0000000000,79.8417600000,314.7723050000,239.7429997500,0.0000000000,106.5735075000,661.0888122500,4352,473,0.881520,0.856944,0.1007230000,0.2571132000,2.3786400000,0.1654347920,3916.000000,17624.200000,228568,23278.517504,69655.000000,168448.000000,231069,61929.466808,0.000000,0.000000,0,0.000000,339.000000,1193.600000,14407,851.222077,17821.500000,58085.200000,622382,29873.510916,12054.000000,34326.000000,231629,18303.387452,3,473,473,476,492,0,473,0,0,4352,0,0,0,473,cloud_official
xai,grok-4.6,grok,xhigh,4802,4802,4725,46,30,1,0.990358,0.009642,0.983965,0.009579,4726,76,4725,76,1,2026-08-22 23:39:14,2026-09-19 16:19:02,58778488,612960128,0,3648637,675387253,12240.418159,127646.840483,0.000000,759.816118,140647.074761,888.8462850000,0.1850991847,0.1881156159,0.0000000000,0.1880758115,0.0000000000,154.4744320000,416.7932160000,0.0000000000,25.9078020000,233.6343540000,618.1759680000,0.0000000000,37.0359630000,888.8462850000,4725,77,0.912498,0.873968,0.0904120000,0.3956342000,4.0238800000,0.2792071112,1850.500000,18412.900000,398203,36903.424249,128832.000000,218496.000000,1582464,84698.508643,0.000000,0.000000,0,0.000000,427.000000,1779.900000,10513,973.525367,12840.000000,42873.000000,193267,20841.433232,4170.000000,21651.800000,123741,13528.302952,1,77,77,77,4802,0,77,0,0,0,4725,0,0,77,cloud_exact
openai,gpt-6-astra,gpt-astra,medium,4569,4569,3616,566,379,8,0.864658,0.135342,0.791420,0.123878,3624,945,3616,945,8,2026-09-06 13:28:25,2026-09-19 16:19:01,58600341,209514574,135651,1606936,269857502,12825.638214,45855.673889,29.689429,351.704093,59062.705625,1199.9412435000,0.2626266674,0.3312841702,0.0035648127,0.3305528586,0.0021351153,593.6396500000,210.5977470000,1.6956375000,80.4446000000,806.2225700000,277.9148860000,1.6956375000,114.1081500000,1199.9412435000,3615,954,0.781041,0.769419,0.1369560000,0.6022000000,15.7113040000,0.4839939335,1637.000000,30448.600000,389980,31345.961300,26368.000000,124800.000000,376109,52759.110132,0.000000,0.000000,71147,1159.161204,150.000000,775.200000,18936,764.719651,22701.000000,122509.000000,635211,46885.317784,12546.000000,58805.000000,213847,28327.131716,8,954,954,972,1072,0,954,0,0,3615,0,0,0,954,cloud_official
openai,gpt-5.4-mini,gpt-mini,(unspecified),3683,3683,2403,124,646,510,0.950930,0.049070,0.652457,0.033668,2913,770,2403,770,510,2026-07-25 16:09:38,2026-09-04 07:13:49,303882,2437468,0,4435522,7176872,82.509367,661.815911,0.000000,1204.323106,1948.648384,20.4042369000,0.0055401132,0.0084911514,0.0000000000,0.0070045441,0.0000000000,0.2279115000,0.1828101000,0.0000000000,19.9598490000,0.2475600000,0.1853506500,0.0000000000,19.9713262500,20.4042369000,2403,1280,0.889149,0.917802,0.0058633500,0.0132905700,0.0346611750,0.0053705158,52.000000,121.000000,10396,452.915539,682.000000,1398.800000,31463,822.956121,0.000000,0.000000,0,0.000000,1274.000000,2915.800000,7651,1180.085909,37174.000000,375079.000000,512731,134471.726636,31159.000000,58753.000000,173926,18253.480373,510,1280,1280,1280,1300,0,1280,0,0,2403,0,0,0,1280,cloud_official
xai,grok-4.5,grok,(unspecified),2966,2966,2184,722,60,0,0.751549,0.248451,0.736345,0.243425,2184,782,2184,782,0,2026-07-25 02:23:30,2026-09-10 14:15:58,29718276,106707653,0,1751732,138177661,10019.648011,35976.956507,0.000000,590.604181,46587.208699,145.3112057199,0.0489923148,0.0665344349,0.0000000000,0.0665344349,0.0000000000,75.3105900000,55.8067181199,0.0000000000,11.5328160000,76.7667495000,55.9975757199,0.0000000000,12.5468805000,145.3112057199,2181,785,0.782165,0.693262,0.0129186000,0.0987796000,1.4318520000,0.1252311252,480.500000,14756.500000,354034,34317.146345,4992.500000,129152.000000,359680,63940.384550,0.000000,0.000000,0,0.000000,189.000000,1622.500000,10027,1049.426528,5434.500000,32397.000000,400447,21893.209862,3009.000000,19757.000000,400249,16841.204127,0,785,785,785,2966,0,785,0,0,0,2181,0,0,785,cloud_exact
openai,gpt-5.6-luna,gpt-luna,low,2900,2900,381,2298,221,0,0.142217,0.857783,0.131379,0.792414,381,2519,381,2519,0,2026-08-06 08:02:05,2026-09-03 16:21:55,5839154,2555136,0,68857,8463147,2013.501379,881.081379,0.000000,23.743793,2918.326552,1.8213477800,0.0006280510,0.0047804404,0.0000000000,0.0047804404,0.0000000000,1.1817770000,0.0511027200,0.0000000000,0.0875520000,1.6270208000,0.0813196800,0.0000000000,0.1130073000,1.8213477800,381,2519,0.304390,0.403719,0.0000000000,0.0013858640,0.0842148000,0.0037277378,0.000000,3292.800000,251793,13877.955026,0.000000,0.000000,173824,5304.160411,0.000000,0.000000,0,0.000000,0.000000,36.000000,4103,227.250467,405.000000,9264.700000,135377,9800.811473,4134.000000,10439.000000,83124,10272.135631,0,2519,2519,2521,2522,0,2519,0,0,381,0,0,0,2519,cloud_official
deepseek,deepseek-flash,deepseek-flash,high,2614,2614,2584,27,2,1,0.989659,0.010341,0.988523,0.010329,2585,29,2584,29,1,2026-09-12 18:10:46,2026-09-18 18:34:15,8952334,400067966,0,2307727,411328027,3424.764346,153048.188982,0.000000,882.833588,157355.786917,234.3973326810,0.0896699819,0.0907110421,0.0000000000,0.0906759507,0.0000000000,17.8167282500,15.9857211360,0.0000000000,18.3018798000,80.1529796250,71.9311912560,0.0000000000,82.3131618000,234.3973326810,2584,30,0.978113,0.955622,0.0621234000,0.1415913120,4.4833881600,0.1723395337,646.500000,5925.000000,491068,17830.392720,119040.000000,329612.800000,613888,126565.585201,0.000000,0.000000,0,0.000000,542.000000,1720.400000,17618,1278.260991,6761.000000,21377.000000,125024,11829.428491,4521.000000,14958.200000,120457,10160.907625,1,30,30,30,2614,0,30,0,0,12,0,2572,0,30,local_manual
anthropic,claude-opus-5,claude-opus,high,2502,2502,2474,3,25,0,0.998789,0.001211,0.988809,0.001199,2474,28,2474,28,0,2026-08-04 11:26:13,2026-09-18 01:55:25,35191467,184769612,28527203,1183109,249671391,14065.334532,73848.765787,11401.759792,472.865308,99788.725420,574.2447432500,0.2295142859,0.2318808582,0.1905000000,0.2318808582,0.0204107143,175.9573350000,92.3848060000,178.2950187500,29.5777250000,181.8550150000,137.8350095000,213.7978437500,40.7568750000,574.2447432500,2475,27,0.743575,0.732652,0.1820733750,0.4442017500,3.0090120000,0.2417114158,601.000000,40828.600000,150889,26117.537927,75461.000000,130656.200000,166646,42665.770199,1033.000000,34904.400000,239724,22941.362390,121.000000,1071.800000,12368,1018.485507,6955.500000,27448.400000,291137,22000.675781,5094.000000,13281.600000,187396,12010.240927,0,27,27,27,27,0,27,0,0,2475,0,0,0,27,cloud_official
unknown,(null),unknown,(unspecified),1756,1756,548,3,1200,5,0.994555,0.005445,0.312073,0.001708,553,1203,548,1203,5,2026-07-25 09:28:20,2026-09-17 20:50:56,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,0,1756,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,265.000000,473.000000,10769,665.626934,389.500000,663.300000,10769,1137.306978,5,1756,1756,1756,1756,0,1756,0,0,0,0,0,0,1756,
anthropic,claude-opus-4-8,claude-opus,high,1421,1421,1369,4,47,1,0.997087,0.002913,0.963406,0.002815,1370,51,1369,51,1,2026-07-26 14:26:55,2026-09-12 19:28:12,2337111,161960192,39227433,1608008,205132744,1644.694581,113976.208304,27605.512315,1131.603096,144358.018297,416.5010113000,0.2931041600,0.3042374078,0.0000000000,0.3040153367,0.0000000000,11.5182850000,80.3846580000,243.8255487500,40.1999250000,11.9380120000,90.4356028000,270.7200640000,43.4073325000,416.5010113000,1369,52,0.795776,0.744661,0.1268227500,0.7111912500,8.3655495000,0.5811691183,56.000000,6578.000000,45526,4715.985267,97417.000000,249153.000000,396069,100519.903483,972.000000,95344.000000,403428,69031.247407,298.000000,2896.000000,18687,2446.364702,12217.500000,62946.300000,262480,32263.515708,5903.000000,23342.700000,207714,18452.670498,1,41,41,42,42,0,52,0,0,1369,0,0,0,52,cloud_official
xai,grok-4.6,grok,medium,1409,1409,1213,191,5,0,0.863960,0.136040,0.860894,0.135557,1213,196,1213,196,0,2026-08-28 23:33:08,2026-09-19 16:00:55,10821371,88891136,0,773532,100486039,7680.178141,63088.102200,0.000000,548.993612,71317.273953,195.5958895000,0.1388189422,0.1612497028,0.0000000000,0.1612497028,0.0000000000,23.3294000000,47.9875840000,0.0000000000,4.7721780000,59.3938095000,123.5405920000,0.0000000000,12.6614880000,195.5958895000,1213,196,0.891474,0.821435,0.1089900000,0.2663130000,2.5241600000,0.1723734366,901.000000,17448.600000,214321,21876.664796,53120.000000,143641.600000,280576,57132.297252,0.000000,0.000000,0,0.000000,248.000000,1268.200000,14012,1044.528727,9669.000000,35597.600000,211018,20583.307803,4680.000000,18017.400000,143324,12485.405028,0,196,196,196,1409,0,196,0,0,0,1213,0,0,196,cloud_exact
openai,gpt-6-astra,gpt-astra,(unspecified),1350,1350,1151,157,42,0,0.879969,0.120031,0.852593,0.116296,1151,199,1151,199,0,2026-09-06 01:51:58,2026-09-19 11:16:30,14246804,100629089,0,503742,115379635,10553.188148,74540.065926,0.000000,373.142222,85466.396296,294.0551955000,0.2178186633,0.2554780152,0.0000000000,0.2554780152,0.0000000000,145.5224600000,100.6290890000,0.0000000000,25.3397000000,155.3102900000,109.5700680000,0.0000000000,29.1748375000,294.0551955000,1104,246,0.875981,0.832011,0.1430640000,0.4586746000,6.5666400000,0.3579566903,1157.000000,22060.700000,305442,31014.659515,78080.000000,166515.200000,243840,65499.706918,0.000000,0.000000,0,0.000000,194.000000,768.100000,7464,646.713966,25311.000000,114747.900000,255952,40500.733846,16865.000000,59046.600000,166560,25990.261697,0,240,240,259,742,0,246,0,0,1105,0,0,0,245,cloud_official
openai,gpt-6-astra,gpt-astra,max,1193,1193,973,169,49,2,0.852014,0.147986,0.815591,0.141660,956,237,973,218,2,2026-09-05 17:10:58,2026-09-19 16:19:08,21054786,92502025,0,785077,114341888,17648.605197,77537.321878,0.000000,658.069573,95843.996647,434.7322310000,0.3644025407,0.4467957153,0.0000000000,0.4547408274,0.0000000000,211.1406200000,92.7190670000,0.0000000000,39.2925500000,258.7352625000,122.8751310000,0.0000000000,53.1218375000,434.7322310000,953,240,0.814588,0.786689,0.2300120000,0.8095044000,3.8631565000,0.5305555245,2008.000000,52287.400000,218250,40688.499835,61824.000000,187648.000000,220928,73032.508966,0.000000,0.000000,0,0.000000,241.000000,1640.000000,14192,1238.085010,22644.000000,124669.000000,507688,56901.659952,17789.000000,74487.400000,367259,36255.705794,2,240,240,244,286,0,240,0,0,953,0,0,0,240,cloud_official
openai,gpt-5.4,gpt,medium,1147,1147,1065,18,64,0,0.983380,0.016620,0.928509,0.015693,1065,82,1065,82,0,2026-08-06 09:33:45,2026-09-07 19:38:25,7710001,37890921,0,516783,46117705,6721.884045,33034.804708,0.000000,450.551874,40207.240628,54.0240498750,0.0471003050,0.0506037627,0.0072801458,0.0506037627,0.0015980808,19.1359475000,9.4131782500,0.0000000000,7.7452500000,29.9114106250,13.5284405000,0.0000000000,10.5841987500,54.0240498750,1066,81,0.830924,0.796339,0.0263010000,0.0921928000,0.7707330000,0.0744513271,2446.000000,14473.200000,148557,14252.071589,17280.000000,88126.800000,180010,38717.147350,0.000000,0.000000,0,0.000000,323.000000,865.800000,9273,601.573057,12181.000000,30266.000000,226697,20515.350456,9235.000000,21790.200000,119538,13080.998987,0,77,77,77,86,0,81,0,0,1066,0,0,0,81,cloud_official
openai,codex-auto-review,gpt-luna,(unspecified),1080,1080,941,128,10,1,0.880262,0.119738,0.871296,0.118519,942,138,941,138,1,2026-07-25 17:42:40,2026-09-19 01:34:09,9679429,27414509,0,118305,37212243,8962.434259,25383.804630,0.000000,109.541667,34455.780556,33.0188835600,0.0305730403,0.0350891430,0.0000000000,0.0350518934,0.0000000000,8.8003462000,14.8769093800,0.0000000000,0.5923014000,10.8020177000,21.3850258600,0.0000000000,0.8318400000,33.0188835600,941,139,0.739056,0.725941,0.0063513100,0.0920191000,0.4897920000,0.0457715593,1537.000000,31647.900000,144114,19396.275482,16896.000000,67584.000000,132608,28295.454991,0.000000,0.000000,0,0.000000,68.000000,248.200000,3329,184.458449,8322.000000,24951.600000,375351,17513.336484,6029.000000,16737.800000,101139,9412.960673,1,139,139,139,968,0,139,0,0,513,0,428,0,139,cloud_official
openai,codex-auto-review,gpt-luna,low,1035,1035,969,20,46,0,0.979778,0.020222,0.936232,0.019324,969,66,969,66,0,2026-08-06 10:13:32,2026-09-19 00:23:12,13607190,35163465,0,111272,48881927,13147.043478,33974.362319,0.000000,107.509179,47228.914976,5.9044726550,0.0057048045,0.0060933670,0.0000000000,0.0060933670,0.0000000000,2.7886752000,0.7310401800,0.0000000000,0.1385256000,4.5380064500,1.1461429050,0.0000000000,0.2203233000,5.9044726550,969,66,0.720996,0.716751,0.0028053900,0.0107017600,0.0866342400,0.0100647601,2972.000000,31396.600000,257267,30245.138813,20992.000000,79360.000000,251648,41645.171337,0.000000,0.000000,0,0.000000,86.000000,199.000000,1051,97.056190,8246.000000,26162.600000,139891,17121.319121,7393.000000,21517.500000,114438,12516.140558,0,66,66,66,66,0,66,0,0,969,0,0,0,66,cloud_official
openai,gpt-6-astra,gpt-astra,low,1017,1017,895,74,46,2,0.923633,0.076367,0.880039,0.072763,897,120,895,120,2,2026-09-05 19:22:02,2026-09-19 16:06:16,13720680,39585277,0,380087,53686044,13491.327434,38923.576205,0.000000,373.733530,52788.637168,279.3021875000,0.2746334194,0.3120694832,0.0000000000,0.3113736761,0.0000000000,137.9470200000,40.3230150000,0.0000000000,19.1745500000,192.7514400000,57.3790600000,0.0000000000,29.1716875000,279.3021875000,895,122,0.742605,0.774206,0.1053820000,0.6626588000,5.0578100000,0.5220426935,1431.000000,38147.600000,225984,31121.783963,21248.000000,117982.800000,534474,49148.388392,0.000000,0.000000,0,0.000000,137.000000,877.800000,8422,754.141180,22707.000000,110530.800000,316835,49962.972708,10992.000000,66992.800000,261452,33882.594961,2,122,122,123,128,0,122,0,0,895,0,0,0,122,cloud_official
openai,gpt-5.6-luna,gpt-luna,xhigh,894,894,266,540,87,1,0.330025,0.669975,0.297539,0.604027,267,627,266,627,1,2026-08-06 11:21:49,2026-09-07 02:47:42,9471832,20152576,0,183491,29807899,10594.890380,22542.031320,0.000000,205.247204,33342.168904,3.9197985500,0.0043845621,0.0147360848,0.0000000000,0.0146808934,0.0000000000,1.8931714000,0.3980748800,0.0000000000,0.2177424000,2.8523125500,0.7012928000,0.0000000000,0.3661932000,3.9197985500,266,628,0.680269,0.719445,0.0000000000,0.0095446610,0.0897701700,0.0116271970,0.000000,11759.500000,250911,37486.525389,0.000000,102144.000000,232192,49178.720855,0.000000,0.000000,0,0.000000,0.000000,497.000000,6804,619.475195,5144.000000,44802.600000,142646,25565.100882,8713.500000,32796.600000,125774,19401.481708,1,624,624,624,626,0,628,0,0,266,0,0,0,628,cloud_official
anthropic,claude-opus-4-8,claude-opus,xhigh,886,886,842,37,7,0,0.957907,0.042093,0.950339,0.041761,842,44,842,44,0,2026-08-09 20:02:16,2026-08-27 23:01:01,290699,60489600,11793357,859392,73433048,328.102709,68272.686230,13310.786682,969.968397,82881.544018,211.7633154500,0.2390105141,0.2515003746,0.0000000000,0.2515003746,0.0000000000,1.4534950000,30.2448000000,73.8024412500,21.4848000000,2.5219945000,57.1071704500,115.1592530000,36.9748975000,211.7633154500,842,44,0.833493,0.813555,0.0999600000,0.6510778125,2.6702775000,0.2822599747,2.000000,604.000000,41289,2106.752071,61985.500000,143768.500000,193082,52167.610774,1855.500000,35675.500000,167940,28255.853466,111.500000,4179.000000,15678,2268.625599,7705.500000,100226.000000,268830,42770.736244,4218.000000,9703.700000,175806,21049.695198,0,44,44,44,44,0,44,0,0,842,0,0,0,44,cloud_official
anthropic,claude-opus-5,claude-opus,xhigh,707,707,693,2,12,0,0.997122,0.002878,0.980198,0.002829,693,14,693,14,0,2026-08-04 11:29:48,2026-09-02 20:29:32,9590103,62793160,7372229,445481,80200973,13564.502122,88816.350778,10427.480905,630.100424,113438.434229,136.5666512500,0.1931635803,0.1947032056,0.2424856250,0.1947032056,0.1169521250,47.9505150000,31.3965800000,46.0825312500,11.1370250000,47.9505150000,31.3965800000,46.0825312500,11.1370250000,136.5666512500,697,10,0.787321,0.752408,0.0921682500,0.5251552500,1.9683362500,0.2125599900,2.000000,53377.400000,138095,30021.329578,73873.000000,154828.600000,524855,85389.144138,1013.000000,30422.000000,305441,26434.170536,132.000000,1980.800000,7581,1237.630145,8318.000000,48633.200000,375296,35945.632587,5050.000000,12985.400000,175608,14790.392106,0,10,10,10,10,0,10,0,0,697,0,0,0,10,cloud_official
anthropic,claude-sonnet-5,claude-sonnet,high,594,594,562,31,0,1,0.947723,0.052277,0.946128,0.052189,563,31,562,31,1,2026-08-23 16:16:11,2026-09-17 21:58:54,2106341,54368774,4204119,113175,60792409,3546.028620,91529.922559,7077.641414,190.530303,102344.122896,79.9047225000,0.1345197348,0.1421792215,0.0000000000,0.1419266829,0.0000000000,4.2126820000,10.8737548000,10.5102975000,1.1317500000,12.6364300000,32.5792300000,31.3851125000,3.3039500000,79.9047225000,562,32,0.896003,0.903994,0.0788011500,0.2333361000,1.3930443000,0.2153974750,217.000000,15829.300000,34923,8210.682585,97126.500000,144258.500000,185195,44400.087688,137.000000,445.400000,185177,29987.909065,110.000000,271.500000,3866,414.661397,5905.000000,39166.200000,93871,15478.365424,4033.000000,38513.800000,92839,14962.142448,1,32,32,32,32,0,32,0,0,562,0,0,0,32,cloud_official
deepseek,deepseek-flash,deepseek-flash,xhigh,555,555,550,4,1,0,0.992780,0.007220,0.990991,0.007207,550,5,550,5,0,2026-09-13 20:42:00,2026-09-17 08:47:24,1488754,71435644,0,550042,73474440,2682.439640,128712.872072,0.000000,991.066667,132386.378378,46.0587139200,0.0829886737,0.0837431162,0.0000000000,0.0837431162,0.0000000000,2.9775080000,2.8574257600,0.0000000000,4.4003360000,13.3987860000,12.8584159200,0.0000000000,19.8015120000,46.0587139200,550,5,0.979585,0.969230,0.0558594000,0.1307870640,2.0667398400,0.1553294367,600.000000,3898.200000,208412,15067.752849,130688.000000,215833.600000,239616,64877.617158,0.000000,0.000000,0,0.000000,537.000000,1882.800000,11923,1591.638998,7014.000000,27266.200000,69947,11414.864126,4628.000000,17539.200000,60251,8354.523190,0,5,5,5,555,0,5,0,0,0,0,550,0,5,local_manual
openai,gpt-image-2,gpt-image,(unspecified),508,508,257,146,105,0,0.637717,0.362283,0.505906,0.287402,257,251,257,251,0,2026-07-25 12:43:56,2026-09-19 00:58:08,334705,0,0,205299,540004,658.868110,0.000000,0.000000,404.131890,1063.000000,332.1260687500,0.6537914739,1.2923193337,0.0000000000,1.2923193337,0.0000000000,191.0701200000,0.0000000000,0.0000000000,1.4161500000,330.1166987500,0.0000000000,0.0000000000,2.0093700000,332.1260687500,256,252,0.000000,0.000000,0.0194350000,1.7500000000,2.0000000000,0.8516069018,4.000000,2427.100000,6792,1203.880472,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,148.500000,765.000000,6500,714.276247,51211.000000,125012.000000,182758,47151.753348,54469.000000,81036.400000,176106,23783.861406,0,251,251,399,508,0,252,0,0,66,0,191,0,251,local_manual
openai,gpt-5.6-luna,gpt-luna,high,486,486,338,115,29,4,0.746137,0.253863,0.695473,0.236626,342,144,338,144,4,2026-08-07 16:27:08,2026-09-10 11:45:16,4823897,64816640,0,132827,69773364,9925.713992,133367.572016,0.000000,273.306584,143566.592593,6.2960567200,0.0129548492,0.0186273867,0.0000000000,0.0184095226,0.0000000000,1.6161488000,2.1213388800,0.0000000000,0.1851012000,2.6345963000,3.4023795200,0.0000000000,0.2590809000,6.2960567200,338,148,0.930731,0.918006,0.0032937400,0.0266604100,0.2501338000,0.0333003125,770.000000,4564.000000,354985,48715.191577,85632.000000,352768.000000,369152,138139.912376,0.000000,0.000000,0,0.000000,124.500000,733.000000,2597,394.325083,10522.500000,24203.600000,60338,10240.760082,7609.000000,21692.800000,59942,9572.927221,4,148,148,148,148,0,148,0,0,338,0,0,0,148,cloud_official
xai,grok-4.6,grok,low,413,413,183,228,2,0,0.445255,0.554745,0.443099,0.552058,183,230,183,230,0,2026-09-10 14:04:58,2026-09-19 01:26:12,912750,278912,0,30901,1222563,2210.048426,675.331719,0.000000,74.820823,2960.200969,6.5570750000,0.0158766949,0.0358310109,0.0000000000,0.0358310109,0.0000000000,2.2533460000,0.1395200000,0.0000000000,0.1913220000,5.6582650000,0.3952000000,0.0000000000,0.5036100000,6.5570750000,183,230,0.234053,0.107727,0.0000000000,0.0333840000,2.1691300000,0.1083354008,0.000000,5637.800000,213923,10841.392578,0.000000,256.000000,49920,4368.136994,0.000000,0.000000,0,0.000000,0.000000,183.800000,3301,200.213859,1287.000000,7985.800000,90534,11266.505072,1064.000000,11554.000000,90401,11416.960677,0,230,230,230,413,0,230,0,0,0,183,0,0,230,cloud_exact
