source,model_raw,model_normalized,reasoning_effort,period_start_cst,period_end_cst,n_calls,n_success,n_failure,success_rate,sum_input_tokens,sum_cache_read_tokens,sum_cache_write_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_cache_read_tokens,avg_cache_write_tokens,avg_output_tokens,avg_total_tokens,native_cost_total,native_cost_avg,cost_unit,p50_native_cost,p90_native_cost,p50_total_tokens,p90_total_tokens,p50_latency_ms,p90_latency_ms,p50_ttfb_ms,p90_ttfb_ms
sxyq_blog,gpt-5.6-sol,gpt-5.6-sol,low,2026-08-19T14:37:44+08:00,2026-09-17T20:16:36+08:00,24,21,3,0.875,2399597,389248,0,16746,2805591,99983.20833333333,16218.666666666666,0.0,697.75,116899.625,6355276.0,264803.1666666667,quotaUnits,105630.0,531141.5,106013.0,213845.0,28500.0,72099.99999999997,15314.0,28765.799999999996
sxyq_blog,gpt-5.6-sol,gpt-5.6-sol,max,2026-08-20T02:55:52+08:00,2026-09-17T20:25:41+08:00,2995,2721,274,0.9085141903171954,187481836,267992338,115250,2094147,457683571,62598.275792988316,89479.9125208681,38.48080133555926,699.2143572621035,152815.8834724541,875520240.0,292327.2921535893,quotaUnits,290385.0,581240.9999999999,159159.0,238572.8,26000.0,75000.0,14027.0,38812.99999999999
sxyq_blog,gpt-5.6-sol,gpt-5.6-sol,medium,2026-08-20T12:08:41+08:00,2026-09-14T22:01:54+08:00,1814,1658,156,0.9140022050716649,103436669,155272205,253369,982511,259944754,57021.31697905182,85596.58489525909,139.6742006615215,541.6267916207277,143299.20286659317,338419678.0,186559.91069459758,quotaUnits,108215.0,470774.4,139421.0,240144.7,27000.0,59000.0,13669.5,34508.8
sxyq_blog,gpt-5.6-sol,gpt-5.6-sol,xhigh,2026-08-20T13:59:07+08:00,2026-09-14T06:43:27+08:00,5138,4779,359,0.9301284546516154,174070321,677095260,309148,2451790,853926519,33879.00369793694,131781.87232386143,60.16893732970027,477.1876216426625,166198.23258077074,861933723.0,167756.66076294277,quotaUnits,70892.0,455109.50000000006,166760.5,254764.8,25000.0,53000.0,15763.5,33742.2
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,(unspecified),2026-08-18T14:20:17+08:00,2026-09-19T19:32:14+08:00,749,38,711,0.050734312416555405,21952,102067,0,520,124539,29.30841121495327,136.2710280373832,0.0,0.6942590120160214,166.27369826435248,138488.0,184.89719626168224,quotaUnits,0.0,0.0,0.0,0.0,2000.0,12000.0,0.0,0.0
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,high,2026-08-20T15:56:00+08:00,2026-09-19T15:37:53+08:00,2271,2180,91,0.959929546455306,29571158,282890203,0,1277971,313739332,13021.205636283576,124566.35975341259,0.0,562.7349185380889,138150.30030823426,77661728.0,34197.15015411713,quotaUnits,22036.0,67369.0,138159.0,229830.0,39000.0,114000.0,21421.0,83416.0
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,low,2026-08-29T04:30:46+08:00,2026-09-03T14:39:48+08:00,143,141,2,0.986013986013986,2462769,17131264,0,67911,19661944,17222.16083916084,119799.04895104896,0.0,474.9020979020979,137496.1118881119,4590075.0,32098.426573426572,quotaUnits,21246.0,50617.19999999998,148072.0,206639.80000000002,32000.0,111800.0,20304.0,83038.79999999999
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,max,2026-08-20T16:52:50+08:00,2026-09-19T20:00:31+08:00,7638,7250,388,0.9492013616129877,88860560,1128124473,0,4840819,1221825852,11634.00890285415,147698.9359780047,0.0,633.7809636030374,159966.7258444619,236827028.0,31006.41895784237,quotaUnits,23095.0,38376.8,165324.5,245834.2,32000.0,97000.0,16339.0,64612.000000000015
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,medium,2026-08-18T19:08:51+08:00,2026-09-19T17:41:08+08:00,1041,975,66,0.9365994236311239,18669816,72454287,0,564737,91688840,17934.50144092219,69600.65994236311,0.0,542.494716618636,88077.65609990394,32464828.0,31186.19404418828,quotaUnits,17595.0,85751.0,76523.0,170761.0,36000.0,101000.0,18392.0,75444.0
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,minimal,2026-08-30T17:09:30+08:00,2026-08-30T22:11:01+08:00,235,232,3,0.9872340425531915,1176198,31209216,0,58144,32443558,5005.097872340426,132805.1744680851,0.0,247.42127659574467,138057.6936170213,4645986.0,19770.15319148936,quotaUnits,16985.0,26703.4,128110.0,225927.19999999998,17000.0,42199.999999999985,11495.0,28745.6
sxyq_blog,gpt-5.6-terra,gpt-5.6-terra,xhigh,2026-08-20T11:42:54+08:00,2026-09-19T20:00:33+08:00,1915,1729,186,0.9028720626631854,32495839,226619883,0,1156162,260271884,16969.106527415144,118339.36449086161,0.0,603.7399477806789,135912.21096605744,64294208.0,33573.99895561358,quotaUnits,20650.0,56993.20000000036,129046.0,227443.20000000004,50000.0,130600.00000000013,32000.0,92052.20000000001
sxyq_blog,gpt-6-astra,gpt-6-astra,(unspecified),2026-09-06T09:33:44+08:00,2026-09-18T00:09:35+08:00,41,11,30,0.2682926829268293,112,255130,112041,1612,368895,2.731707317073171,6222.682926829269,2732.7073170731705,39.31707317073171,8997.439024390244,868683.0,21187.39024390244,quotaUnits,0.0,73879.0,0.0,37741.0,7000.0,13000.0,0.0,5374.0
sxyq_blog,gpt-6-astra,gpt-6-astra,medium,2026-09-15T00:03:28+08:00,2026-09-15T00:03:28+08:00,1,1,0,1.0,3,0,29259,170,29432,3.0,0.0,29259.0,170.0,29432.0,187134.0,187134.0,quotaUnits,187134.0,187134.0,29432.0,29432.0,11000.0,11000.0,2671.0,2671.0
